id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
02-420,Mali,MLI,432,2018,32503,Adjelhoc,3,Kidal,Tessalit,Adjelhoc, Aguelhok,0,NA,flood,2018-0441,19.10080506,0.740777521
02-461,Nepal,NEP,790,2018,32814,Sarlahi,3,Central,Janakpur,Sarlahi, Sarlahi,0,NA,flood,2018-0219,26.98588028,85.56745865
02-461,Nepal,NEP,790,2018,32819,Rolpa,3,Mid-Western,Rapti,Rolpa,Rolpa district,0,NA,flood,2018-0219,28.34399386,82.62999127
02-461,Nepal,NEP,790,2018,32821,Dang,3,Mid-Western,Rapti,Dang, Dang,0,NA,flood,2018-0219,27.96398038,82.41223144
02-461,Nepal,NEP,790,2018,32822,Sindhuli,3,Central,Janakpur,Sindhuli, Sindhuli districts,0,NA,flood,2018-0219,27.20110756,85.94659879
02-566,Rwanda,RWA,517,2018,33620,Nyakiriba,3,Iburengerazuba,Rubavu,Nyakiriba, Nyakiliba,0,NA,flood,2018-0104,-1.674038568,29.35419917
02-566,Rwanda,RWA,517,2018,33621,Nyundo,3,Iburengerazuba,Rubavu,Nyundo,Nyundo,0,NA,flood,2018-0104,-1.724484878,29.33731342
02-566,Rwanda,RWA,517,2018,33623,Rugerero,3,Iburengerazuba,Rubavu,Rugerero, Rugerero,0,NA,flood,2018-0104,-1.691782674,29.30083066
02-566,Rwanda,RWA,517,2018,33625,Kanama,3,Iburengerazuba,Rubavu,Kanama, Kanama ,0,NA,flood,2018-0104,-1.707310205,29.39391409
02-625,Tanzania,TAZ,510,2018,33930,Kigamboni,3,Dar Es Salaam,Temeke,Kigamboni, Temeke and Kigamboni Municipals,0,NA,flood,2018-0125,-6.82614508,39.3100547
02-140,China,CHN,710,2018,30854,Tianshui,2,Gansu,Tianshui,NA,Tianshui,0,NA,flood,2018-0252,34.65014895,105.7399518
02-140,China,CHN,710,2018,30855,Pingliang,2,Gansu,Pingliang,NA, Pingliang,0,NA,flood,2018-0252,35.30654585,106.6510984
02-140,China,CHN,710,2018,30856,Zhangye,2,Gansu,Zhangye,NA, Zhangye,0,NA,flood,2018-0252,38.91973388,99.89444781
02-143,China,CHN,710,2018,30873,Guangyuan,2,Sichuan,Guangyuan,NA, Guangyuan prefectures ,0,NA,flood,2018-0250,32.260871,105.7797711
02-143,China,CHN,710,2018,30875,Deyang,2,Sichuan,Deyang,NA,Deyang,0,NA,flood,2018-0250,31.1340846,104.4293611
02-143,China,CHN,710,2018,30876,Mianyang,2,Sichuan,Mianyang,NA, Mianyang,0,NA,flood,2018-0250,31.84850173,104.7025664
02-165,Croatia,CRO,344,2018,30963,Gospic,2,Licko-Senjska,Gospic,NA, Gopsic region,0,NA,flood,2018-0087,44.53890858,15.37247512
02-165,Croatia,CRO,344,2018,30964,Perusic,2,Licko-Senjska,Perusic,NA,Kosinj region,0,NA,flood,2018-0087,44.71858236,15.27507224
02-201,France,FRN,220,2018,31221,Herault,2,Occitanie,Herault,NA, HŽrault,0,NA,flood,2018-0375,43.57954599,3.368139294
02-201,France,FRN,220,2018,31222,Aude,2,Occitanie,Aude,NA, Aragon,0,NA,flood,2018-0375,43.1042611,2.405418903
Feb-29,Argentina,ARG,160,2018,31776,Lanus,2,Buenos Aires,Lanus,NA, Lanus ,0,NA,flood,2018-0439,-34.70990562,-58.39540736
Feb-29,Argentina,ARG,160,2018,31777,La Plata,2,Buenos Aires,La Plata,NA, La Plata,0,NA,flood,2018-0439,-35.0040484,-58.01879916
